x,y
21.77,24.77
74.76,77.76
20.43,23.43
1.51,4.51
59.53,62.53
72.85,75.85
28.95,31.95
2.17,5.17
43.72,46.72
83.72,86.72
75.56,78.56
92.61,95.61
19.47,22.47
89.96,92.96
58.97,61.97
26.75,29.75
82.49,85.49
83.33,86.33
50.04,53.04
73.81,76.81
63.82,66.82
58.9,61.9
45.76,48.76
81.8,84.8
12.25,15.25
18.33,21.33
1.3,4.3
76.86,79.86
26.93,29.93
22.01,25.01
32.34,35.34
14.19,17.19
85.42,88.42
93.13,96.13
94.56,97.56
47.32,50.32
2.68,5.68
78.04,81.04
84.2,87.2
69.61,72.61
23.34,26.34
47.55,50.55
21.36,24.36
85.53,88.53
63.6,66.6
59.2,62.2
75.25,78.25
69.17,72.17
22.48,25.48
93.08,96.08
70.54,73.54
54.46,57.46
42.4,45.4
55.91,58.91
22.07,25.07
14.92,17.92
65.44,68.44
51.27,54.27
55.2,58.2
61.44,64.44
28.79,31.79
70.29,73.29
80.78,83.78
85.38,88.38
28.14,31.14
57.52,60.52
43.17,46.17
75.18,78.18
90.06,93.06
5.73,8.73
34.05,37.05
85.44,88.44
78.4,81.4
78.7,81.7
8.97,11.97
85.49,88.49
47.27,50.27
84.56,87.56
60.14,63.14
13.38,16.38
65.96,68.96
9.51,12.51
57.81,60.81
5.79,8.79
22.88,25.88
78.29,81.29
80.99,83.99
42.48,45.48
82.29,85.29
58.18,61.18
45.57,48.57
45.1,48.1
1.94,4.94
47.22,50.22
4.1,7.1
59.8,62.8
88.87,91.87
19.69,22.69
11.26,14.26
45.71,48.71
62.19,65.19
4.92,7.92
95.86,98.86
2.95,5.95
6.52,9.52
95.19,98.19
58.06,61.06
18.25,21.25
88.97,91.97
74.29,77.29
45.35,48.35
28.77,31.77
3.23,6.23
87.07,90.07
74.46,77.46
43.2,46.2
6.74,9.74
65.54,68.54
18.34,21.34
84.72,87.72
76.86,79.86
27.51,30.51
38.79,41.79
62.76,65.76
17.1,20.1
22.21,25.21
95.38,98.38
71.23,74.23
1.79,4.79
46.8,49.8
91.1,94.1
62.36,65.36
78.11,81.11
9.47,12.47
97.68,100.68
94.95,97.95
32.57,35.57
30.7,33.7
54.81,57.81
80.46,83.46
82.46,85.46
7.26,10.26
21.66,24.66
50.34,53.34
42.88,45.88
66.92,69.92
86.64,89.64
28.22,31.22
89.67,92.67
85.99,88.99
20.92,23.92
85.54,88.54
97.81,100.81
41.86,44.86
55.16,58.16
89.14,92.14
22.96,25.96
57.88,60.88
73.37,76.37
84.61,87.61
21.49,24.49
95.2,98.2
70.71,73.71
54.28,57.28
24.63,27.63
81.83,84.83
34.57,37.57
1.69,4.69
63.84,66.84
77.02,80.02
31.68,34.68
83.63,86.63
67.91,70.91
30.67,33.67
99.61,102.61
15.06,18.06
28.75,31.75
53.93,56.93
22.74,25.74
66.05,69.05
57.8,60.8
54.86,57.86
88.48,91.48
75.22,78.22
45.33,48.33
25.71,28.71
42.45,45.45
32.52,35.52
89.59,92.59
70.63,73.63
6.57,9.57
86.29,89.29
53.44,56.44
77.1,80.1
47.57,50.57
52.99,55.99
54.5,57.5
3.51,6.51
86.79,89.79
21.74,24.74
25.33,28.33
24.7,27.7
36.02,39.02
85.28,88.28
43.88,46.88
79.29,82.29
64.9,67.9
20.79,23.79
72.54,75.54
25.88,28.88
89.59,92.59
12.41,15.41
10.71,13.71
82.63,85.63
32.23,35.23
63.96,66.96
29.95,32.95
81.21,84.21
79.1,82.1
45.01,48.01
82.38,85.38
97.18,100.18
61.42,64.42
86.93,89.93
23.03,26.03
96.88,99.88
85.88,88.88
9.15,12.15
79.36,82.36
18.04,21.04
9.12,12.12
24.9,27.9
55.09,58.09
12.01,15.01
93.45,96.45
35.18,38.18
24.44,27.44
3.3,6.3
48.19,51.19
34.5,37.5
35.29,38.29
25.2,28.2
98.14,101.14
5.07,8.07
25.14,28.14
67.5,70.5
86.36,89.36
2.57,5.57
17.57,20.57
58.95,61.95
61.06,64.06
87.21,90.21
3.62,6.62
86.3,89.3
79.48,82.48
29.48,32.48
52.59,55.59
53.91,56.91
60.03,63.03
18.42,21.42
95.68,98.68
37.11,40.11
3.26,6.26
80,83
12.23,15.23
14.62,17.62
54.47,57.47
69.8,72.8
22.12,25.12
49.2,52.2
97.87,100.87
30.74,33.74
11.6,14.6
32.87,35.87
71.73,74.73
59.98,62.98
26.85,29.85
83.28,86.28
79.55,82.55
33.22,36.22
59.39,62.39
74.86,77.86
23.5,26.5
61.82,64.82
0.98,3.98
43.67,46.67
81.21,84.21
45.24,48.24
49.42,52.42
19.08,22.08
64.88,67.88
70.59,73.59
14.01,17.01
77.86,80.86
74.96,77.96
69.74,72.74
66.11,69.11
40.78,43.78
72.16,75.16
2.23,5.23
67.85,70.85
4,7
13.25,16.25
81.61,84.61
91.34,94.34
20.46,23.46
44.08,47.08
94.59,97.59
95.54,98.54
37.61,40.61
30.42,33.42
75.35,78.35
82.63,85.63
50.6,53.6
76.45,79.45
60.79,63.79
64.53,67.53
58.09,61.09
86.12,89.12
82.93,85.93
25.1,28.1
36.66,39.66
59.62,62.62
19.07,22.07
2.51,5.51
65.15,68.15
3.41,6.41
21.01,24.01
25.64,28.64
74.75,77.75
11.73,14.73
22.32,25.32
88.58,91.58
84.25,87.25
53.74,56.74
26.34,29.34
89.52,92.52
48.2,51.2
52.37,55.37
90.52,93.52
72.99,75.99
46.02,49.02
67.93,70.93
25.46,28.46
36.91,39.91
73.5,76.5
62.8,65.8
1.71,4.71
77.14,80.14
27.64,30.64
38.58,41.58
87.47,90.47
64.23,67.23
81.95,84.95
11.35,14.35
89.48,92.48
28.26,31.26
32.07,35.07
54.64,57.64
1.85,4.85
93.92,96.92
27.7,30.7
20.29,23.29
84.55,87.55
78.23,81.23
72.08,75.08
76.23,79.23
97.25,100.25
61.24,64.24
57.63,60.63
62.89,65.89
88.82,91.82
45.91,48.91
2.28,5.28
83.75,86.75
55.05,58.05
20.09,23.09
17.36,20.36
15.2,18.2
71.08,74.08
60.21,63.21
61.74,64.74
19.81,22.81
30.62,33.62
16.24,19.24
77.9,80.9
54.69,57.69
68.42,71.42
32.73,35.73
84.71,87.71
82.84,85.84
68.28,71.28
46.19,49.19
84.9,87.9
57.41,60.41
83.64,86.64
32.46,35.46
54.3,57.3
74.5,77.5
30.35,33.35
43.64,46.64
4.58,7.58
32.44,35.44
78.45,81.45
15.01,18.01
0.6,3.6
61.71,64.71
19.41,22.41
52.83,55.83
89.9,92.9
65.81,68.81
81.6,84.6
37.49,40.49
6.11,9.11
35.4,38.4
7.45,10.45
85.84,88.84
34.05,37.05
75.05,78.05
59.33,62.33
60.6,63.6
71.04,74.04
15.86,18.86
87.31,90.31
79.27,82.27
12.09,15.09
74.19,77.19
54.67,57.67
26.52,29.52
45.94,48.94
11.63,14.63
16.98,19.98
10.37,13.37
20.75,23.75
81.14,84.14
29.14,32.14
19.06,22.06
5.63,8.63
39.6,42.6
46.99,49.99
54.53,57.53
25.87,28.87
43.02,46.02
51.29,54.29
72.73,75.73
87.62,90.62
29.17,32.17
32.39,35.39
89.94,92.94
8.36,11.36
54.04,57.04
77.15,80.15
54.45,57.45
29.85,32.85
2.57,5.57
75.47,78.47
43.37,46.37
14.24,17.24
50.52,53.52
59.58,62.58
27.49,30.49
56.9,59.9
98.73,101.73
52.94,55.94
49.73,52.73
31.13,34.13
67.43,70.43
87.28,90.28
44.67,47.67
27.06,30.06
34.69,37.69
67.12,70.12
75.28,78.28
36.62,39.62
18.27,21.27
33.04,36.04
41.92,44.92
78.3,81.3
83.8,86.8
73.13,76.13
65.12,68.12
75.41,78.41
52.98,55.98
39.18,42.18
73.21,76.21
80.63,83.63
52.95,55.95
67.51,70.51
86.94,89.94
23.74,26.74
17.4,20.4
19.28,22.28
72.51,75.51
87.18,90.18
66.2,69.2
69.31,72.31
74.56,77.56
27.72,30.72
65.62,68.62
54.14,57.14
69.61,72.61
53.2,56.2
26.17,29.17
58.19,61.19
78.31,81.31
77.61,80.61
51.85,54.85
34.04,37.04
8.17,11.17
55.42,58.42
28.07,31.07
30.7,33.7
11.52,14.52
24.62,27.62
79.49,82.49
77.01,80.01
26.24,29.24
66.03,69.03
90.44,93.44
84.74,87.74
88.51,91.51
5.75,8.75
91.42,94.42
16.44,19.44
1.85,4.85
98.06,101.06
45.49,48.49
4.39,7.39
66.47,69.47
24.14,27.14
54.39,57.39
80.1,83.1
16.15,19.15
53.06,56.06
28.82,31.82
51.46,54.46
47.36,50.36
91.79,94.79
26.65,29.65
0.46,3.46
77.83,80.83
96.38,99.38
27.39,30.39
95.88,98.88
68.17,71.17
15.99,18.99
70.75,73.75
74.31,77.31
92.94,95.94
36.58,39.58
67.8,70.8
80.63,83.63
19.24,22.24
44.13,47.13
71.83,74.83
42.61,45.61
18.09,21.09
79.85,82.85
33.14,36.14
84.53,87.53
81.06,84.06
65.98,68.98
58.33,61.33
37.88,40.88
3.41,6.41
39.27,42.27
11.33,14.33
37.08,40.08
30.37,33.37
11.96,14.96
46.99,49.99
80.61,83.61
20.02,23.02
28.7,31.7
5.89,8.89
50.94,53.94
88.62,91.62
93.34,96.34
59.55,62.55
46.51,49.51
47.06,50.06
58.96,61.96
0.26,3.26
30.62,33.62
32.3,35.3
26.68,29.68
94.08,97.08
26.08,29.08
38.78,41.78
80.73,83.73
11.82,14.82
69.2,72.2
93.83,96.83
41.34,44.34
99.66,102.66
98.29,101.29
23.23,26.23
89.42,92.42
0.72,3.72
61.28,64.28
12.28,15.28
52.29,55.29
6.43,9.43
40.75,43.75
30.98,33.98
45.78,48.78
3.79,6.79
73.13,76.13
19.05,22.05
84.09,87.09
30.45,33.45
41.38,44.38
90.16,93.16
20.04,23.04
51.26,54.26
79.66,82.66
54.27,57.27
33.96,36.96
30.62,33.62
46.45,49.45
97.94,100.94
77.06,80.06
19.78,22.78
33.99,36.99
97.89,100.89
70.68,73.68
81.37,84.37
6.18,9.18
27.76,30.76
4.31,7.31
11.38,14.38
59.13,62.13
8.5,11.5
65.8,68.8
6.78,9.78
7.99,10.99
22.79,25.79
78.07,81.07
51.94,54.94
82.16,85.16
74,77
37.79,40.79
41.39,44.39
78.71,81.71
64.26,67.26
92.78,95.78
98.96,101.96
12.32,15.32
27.23,30.23
36.45,39.45
92.42,95.42
2.72,5.72
59.48,62.48
70.5,73.5
80.16,83.16
61.51,64.51
86.5,89.5
32.96,35.96
0.64,3.64
39.82,42.82
99.68,102.68
63.79,66.79
47.75,50.75
11.92,14.92
89.68,92.68
40.77,43.77
87.58,90.58
8.26,11.26
50.7,53.7
4.13,7.13
53.84,56.84
99.6,102.6
51.25,54.25
69.82,72.82
9.41,12.41
23.25,26.25
92.16,95.16
1.84,4.84
18.06,21.06
36.81,39.81
72.15,75.15
77.6,80.6
41.48,44.48
20.38,23.38
82.18,85.18
56.06,59.06
11.51,14.51
88.87,91.87
92.66,95.66
36.67,39.67
23.98,26.98
92.81,95.81
88.34,91.34
51.26,54.26
43.52,46.52
52.67,55.67
77.58,80.58
83.51,86.51
4.2,7.2
38.26,41.26
21.97,24.97
94.49,97.49
22.52,25.52
59.36,62.36
97.17,100.17
13.15,16.15
83.07,86.07
90.18,93.18
53.89,56.89
56.42,59.42
15.19,18.19
75.37,78.37
16.45,19.45
67.68,70.68
4.99,7.99
4.01,7.01
60.64,63.64
78.01,81.01
30.74,33.74
2.15,5.15
85.1,88.1
78.89,81.89
9.27,12.27
86.91,89.91
0.08,3.08
37.42,40.42
45.97,48.97
95.03,98.03
39.97,42.97
63.4,66.4
24.69,27.69
75.52,78.52
93.23,96.23
77.35,80.35
45.18,48.18
28.45,31.45
47.25,50.25
66.66,69.66
17.64,20.64
86.25,89.25
2.32,5.32
80.24,83.24
19.86,22.86
76.86,79.86
19.09,22.09
74.88,77.88
47.35,50.35
29.79,32.79
42.72,45.72
30.7,33.7
89.86,92.86
49.69,52.69
54.59,57.59
23.84,26.84
47.36,50.36
17.13,20.13
31.34,34.34
54.82,57.82
39.57,42.57
79.79,82.79
57.88,60.88
63.14,66.14
86.27,89.27
2.82,5.82
71.37,74.37
91.46,94.46
87.54,90.54
81.67,84.67
39.96,42.96
5.55,8.55
97.87,100.87
73.91,76.91
90.34,93.34
53.22,56.22
43.77,46.77
37.29,40.29
19.77,22.77
2.47,5.47
22.42,25.42
98.67,101.67
67.53,70.53
87.19,90.19
47.01,50.01
37.06,40.06
88.48,91.48
87.16,90.16
69.34,72.34
2.99,5.99
10.18,13.18
23.27,26.27
60.69,63.69
86.55,89.55
31.1,34.1
28.66,31.66
93.71,96.71
69.16,72.16
80.68,83.68
20.97,23.97
16.15,19.15
41.19,44.19
90.68,93.68
83.72,86.72
79.56,82.56
42.03,45.03
31.54,34.54
32.66,35.66
75.97,78.97
26.2,29.2
23.41,26.41
46.73,49.73
65.34,68.34
73.16,76.16
16.12,19.12
7.82,10.82
49.77,52.77
24.81,27.81
68.01,71.01
28.94,31.94
26.63,29.63
45.58,48.58
96.65,99.65
86.33,89.33
77.22,80.22
73.32,76.32
61.2,64.2
97.72,100.72
28.55,31.55
44.18,47.18
42.58,45.58
52.5,55.5
53.08,56.08
93.69,96.69
44.66,47.66
15.15,18.15
31.87,34.87
8.91,11.91
90.25,93.25
69.37,72.37
16.27,19.27
70.74,73.74
55.49,58.49
