x,y
51.3,213.2
8.74,42.96
9.64,46.56
3.22,20.88
26,112
83.48,341.92
36.4,153.6
37.33,157.32
56.8,235.2
28.63,122.52
90.13,368.52
46.72,194.88
10.29,49.16
81.18,332.72
75.67,310.68
13.22,60.88
49.96,207.84
8.07,40.28
66.63,274.52
74.09,304.36
21.77,95.08
74.76,307.04
20.43,89.72
1.51,14.04
59.53,246.12
72.85,299.4
28.95,123.8
2.17,16.68
43.72,182.88
83.72,342.88
75.56,310.24
92.61,378.44
19.47,85.88
89.96,367.84
58.97,243.88
26.75,115
82.49,337.96
83.33,341.32
50.04,208.16
73.81,303.24
63.82,263.28
58.9,243.6
45.76,191.04
81.8,335.2
12.25,57
18.33,81.32
1.3,13.2
76.86,315.44
26.93,115.72
22.01,96.04
32.34,137.36
14.19,64.76
85.42,349.68
93.13,380.52
94.56,386.24
47.32,197.28
2.68,18.72
78.04,320.16
84.2,344.8
69.61,286.44
23.34,101.36
47.55,198.2
21.36,93.44
85.53,350.12
63.6,262.4
59.2,244.8
75.25,309
69.17,284.68
22.48,97.92
93.08,380.32
70.54,290.16
54.46,225.84
42.4,177.6
55.91,231.64
22.07,96.28
14.92,67.68
65.44,269.76
51.27,213.08
55.2,228.8
61.44,253.76
28.79,123.16
70.29,289.16
80.78,331.12
85.38,349.52
28.14,120.56
57.52,238.08
43.17,180.68
75.18,308.72
90.06,368.24
5.73,30.92
34.05,144.2
85.44,349.76
78.4,321.6
78.7,322.8
8.97,43.88
85.49,349.96
47.27,197.08
84.56,346.24
60.14,248.56
13.38,61.52
65.96,271.84
9.51,46.04
57.81,239.24
5.79,31.16
22.88,99.52
78.29,321.16
80.99,331.96
42.48,177.92
82.29,337.16
58.18,240.72
45.57,190.28
45.1,188.4
1.94,15.76
47.22,196.88
4.1,24.4
59.8,247.2
88.87,363.48
19.69,86.76
11.26,53.04
45.71,190.84
62.19,256.76
4.92,27.68
95.86,391.44
2.95,19.8
6.52,34.08
95.19,388.76
58.06,240.24
18.25,81
88.97,363.88
74.29,305.16
45.35,189.4
28.77,123.08
3.23,20.92
87.07,356.28
74.46,305.84
43.2,180.8
6.74,34.96
65.54,270.16
18.34,81.36
84.72,346.88
76.86,315.44
27.51,118.04
38.79,163.16
62.76,259.04
17.1,76.4
22.21,96.84
95.38,389.52
71.23,292.92
1.79,15.16
46.8,195.2
91.1,372.4
62.36,257.44
78.11,320.44
9.47,45.88
97.68,398.72
94.95,387.8
32.57,138.28
30.7,130.8
54.81,227.24
80.46,329.84
82.46,337.84
7.26,37.04
21.66,94.64
50.34,209.36
42.88,179.52
66.92,275.68
86.64,354.56
28.22,120.88
89.67,366.68
85.99,351.96
20.92,91.68
85.54,350.16
97.81,399.24
41.86,175.44
55.16,228.64
89.14,364.56
22.96,99.84
57.88,239.52
73.37,301.48
84.61,346.44
21.49,93.96
95.2,388.8
70.71,290.84
54.28,225.12
24.63,106.52
81.83,335.32
34.57,146.28
1.69,14.76
63.84,263.36
77.02,316.08
31.68,134.72
83.63,342.52
67.91,279.64
30.67,130.68
99.61,406.44
15.06,68.24
28.75,123
53.93,223.72
22.74,98.96
66.05,272.2
57.8,239.2
54.86,227.44
88.48,361.92
75.22,308.88
45.33,189.32
25.71,110.84
42.45,177.8
32.52,138.08
89.59,366.36
70.63,290.52
6.57,34.28
86.29,353.16
53.44,221.76
77.1,316.4
47.57,198.28
52.99,219.96
54.5,226
3.51,22.04
86.79,355.16
21.74,94.96
25.33,109.32
24.7,106.8
36.02,152.08
85.28,349.12
43.88,183.52
79.29,325.16
64.9,267.6
20.79,91.16
72.54,298.16
25.88,111.52
89.59,366.36
12.41,57.64
10.71,50.84
82.63,338.52
32.23,136.92
63.96,263.84
29.95,127.8
81.21,332.84
79.1,324.4
45.01,188.04
82.38,337.52
97.18,396.72
61.42,253.68
86.93,355.72
23.03,100.12
96.88,395.52
85.88,351.52
9.15,44.6
79.36,325.44
18.04,80.16
9.12,44.48
24.9,107.6
55.09,228.36
12.01,56.04
93.45,381.8
35.18,148.72
24.44,105.76
3.3,21.2
48.19,200.76
34.5,146
35.29,149.16
25.2,108.8
98.14,400.56
5.07,28.28
25.14,108.56
67.5,278
86.36,353.44
2.57,18.28
17.57,78.28
58.95,243.8
61.06,252.24
87.21,356.84
3.62,22.48
86.3,353.2
79.48,325.92
29.48,125.92
52.59,218.36
53.91,223.64
60.03,248.12
18.42,81.68
95.68,390.72
37.11,156.44
3.26,21.04
80,328
12.23,56.92
14.62,66.48
54.47,225.88
69.8,287.2
22.12,96.48
49.2,204.8
97.87,399.48
30.74,130.96
11.6,54.4
32.87,139.48
71.73,294.92
59.98,247.92
26.85,115.4
83.28,341.12
79.55,326.2
33.22,140.88
59.39,245.56
74.86,307.44
23.5,102
61.82,255.28
0.98,11.92
43.67,182.68
81.21,332.84
45.24,188.96
49.42,205.68
19.08,84.32
64.88,267.52
70.59,290.36
14.01,64.04
77.86,319.44
74.96,307.84
69.74,286.96
66.11,272.44
40.78,171.12
72.16,296.64
2.23,16.92
67.85,279.4
4,24
13.25,61
81.61,334.44
91.34,373.36
20.46,89.84
44.08,184.32
94.59,386.36
95.54,390.16
37.61,158.44
30.42,129.68
75.35,309.4
82.63,338.52
50.6,210.4
76.45,313.8
60.79,251.16
64.53,266.12
58.09,240.36
86.12,352.48
82.93,339.72
25.1,108.4
36.66,154.64
59.62,246.48
19.07,84.28
2.51,18.04
65.15,268.6
3.41,21.64
21.01,92.04
25.64,110.56
74.75,307
11.73,54.92
22.32,97.28
88.58,362.32
84.25,345
53.74,222.96
26.34,113.36
89.52,366.08
48.2,200.8
52.37,217.48
90.52,370.08
72.99,299.96
46.02,192.08
67.93,279.72
25.46,109.84
36.91,155.64
73.5,302
62.8,259.2
1.71,14.84
77.14,316.56
27.64,118.56
38.58,162.32
87.47,357.88
64.23,264.92
81.95,335.8
11.35,53.4
89.48,365.92
28.26,121.04
32.07,136.28
54.64,226.56
1.85,15.4
93.92,383.68
27.7,118.8
20.29,89.16
84.55,346.2
78.23,320.92
72.08,296.32
76.23,312.92
97.25,397
61.24,252.96
57.63,238.52
62.89,259.56
88.82,363.28
45.91,191.64
2.28,17.12
83.75,343
55.05,228.2
20.09,88.36
17.36,77.44
15.2,68.8
71.08,292.32
60.21,248.84
61.74,254.96
19.81,87.24
30.62,130.48
16.24,72.96
77.9,319.6
54.69,226.76
68.42,281.68
32.73,138.92
84.71,346.84
82.84,339.36
68.28,281.12
46.19,192.76
84.9,347.6
57.41,237.64
83.64,342.56
32.46,137.84
54.3,225.2
74.5,306
30.35,129.4
43.64,182.56
4.58,26.32
32.44,137.76
78.45,321.8
15.01,68.04
0.6,10.4
61.71,254.84
19.41,85.64
52.83,219.32
89.9,367.6
65.81,271.24
81.6,334.4
37.49,157.96
6.11,32.44
35.4,149.6
7.45,37.8
85.84,351.36
34.05,144.2
75.05,308.2
59.33,245.32
60.6,250.4
71.04,292.16
15.86,71.44
87.31,357.24
79.27,325.08
12.09,56.36
74.19,304.76
54.67,226.68
26.52,114.08
45.94,191.76
11.63,54.52
16.98,75.92
10.37,49.48
20.75,91
81.14,332.56
29.14,124.56
19.06,84.24
5.63,30.52
39.6,166.4
46.99,195.96
54.53,226.12
25.87,111.48
43.02,180.08
51.29,213.16
72.73,298.92
87.62,358.48
29.17,124.68
32.39,137.56
89.94,367.76
8.36,41.44
54.04,224.16
77.15,316.6
54.45,225.8
29.85,127.4
2.57,18.28
75.47,309.88
43.37,181.48
14.24,64.96
50.52,210.08
59.58,246.32
27.49,117.96
56.9,235.6
98.73,402.92
52.94,219.76
49.73,206.92
31.13,132.52
67.43,277.72
87.28,357.12
44.67,186.68
27.06,116.24
34.69,146.76
67.12,276.48
75.28,309.12
36.62,154.48
18.27,81.08
33.04,140.16
41.92,175.68
78.3,321.2
83.8,343.2
73.13,300.52
65.12,268.48
75.41,309.64
52.98,219.92
39.18,164.72
73.21,300.84
80.63,330.52
52.95,219.8
67.51,278.04
86.94,355.76
23.74,102.96
17.4,77.6
19.28,85.12
72.51,298.04
87.18,356.72
66.2,272.8
69.31,285.24
74.56,306.24
27.72,118.88
65.62,270.48
54.14,224.56
69.61,286.44
53.2,220.8
26.17,112.68
58.19,240.76
78.31,321.24
77.61,318.44
51.85,215.4
34.04,144.16
8.17,40.68
55.42,229.68
28.07,120.28
30.7,130.8
11.52,54.08
24.62,106.48
79.49,325.96
77.01,316.04
26.24,112.96
66.03,272.12
90.44,369.76
84.74,346.96
88.51,362.04
5.75,31
91.42,373.68
16.44,73.76
1.85,15.4
98.06,400.24
45.49,189.96
4.39,25.56
66.47,273.88
24.14,104.56
54.39,225.56
80.1,328.4
16.15,72.6
53.06,220.24
28.82,123.28
51.46,213.84
47.36,197.44
91.79,375.16
26.65,114.6
0.46,9.84
77.83,319.32
96.38,393.52
27.39,117.56
95.88,391.52
68.17,280.68
15.99,71.96
70.75,291
74.31,305.24
92.94,379.76
36.58,154.32
67.8,279.2
80.63,330.52
19.24,84.96
44.13,184.52
71.83,295.32
42.61,178.44
18.09,80.36
79.85,327.4
33.14,140.56
84.53,346.12
81.06,332.24
65.98,271.92
58.33,241.32
37.88,159.52
3.41,21.64
39.27,165.08
11.33,53.32
37.08,156.32
30.37,129.48
11.96,55.84
46.99,195.96
80.61,330.44
20.02,88.08
28.7,122.8
5.89,31.56
50.94,211.76
88.62,362.48
93.34,381.36
59.55,246.2
46.51,194.04
47.06,196.24
58.96,243.84
0.26,9.04
30.62,130.48
32.3,137.2
26.68,114.72
94.08,384.32
26.08,112.32
38.78,163.12
80.73,330.92
11.82,55.28
69.2,284.8
93.83,383.32
41.34,173.36
99.66,406.64
98.29,401.16
23.23,100.92
89.42,365.68
0.72,10.88
61.28,253.12
12.28,57.12
52.29,217.16
6.43,33.72
40.75,171
30.98,131.92
45.78,191.12
3.79,23.16
73.13,300.52
19.05,84.2
84.09,344.36
30.45,129.8
41.38,173.52
90.16,368.64
20.04,88.16
51.26,213.04
79.66,326.64
54.27,225.08
33.96,143.84
30.62,130.48
46.45,193.8
97.94,399.76
77.06,316.24
19.78,87.12
33.99,143.96
97.89,399.56
70.68,290.72
81.37,333.48
6.18,32.72
27.76,119.04
4.31,25.24
11.38,53.52
59.13,244.52
8.5,42
65.8,271.2
6.78,35.12
7.99,39.96
22.79,99.16
78.07,320.28
51.94,215.76
82.16,336.64
74,304
37.79,159.16
41.39,173.56
78.71,322.84
64.26,265.04
92.78,379.12
98.96,403.84
12.32,57.28
27.23,116.92
36.45,153.8
92.42,377.68
2.72,18.88
59.48,245.92
70.5,290
80.16,328.64
61.51,254.04
86.5,354
32.96,139.84
0.64,10.56
39.82,167.28
99.68,406.72
63.79,263.16
47.75,199
11.92,55.68
89.68,366.72
40.77,171.08
87.58,358.32
8.26,41.04
50.7,210.8
4.13,24.52
53.84,223.36
99.6,406.4
51.25,213
69.82,287.28
9.41,45.64
23.25,101
92.16,376.64
1.84,15.36
18.06,80.24
36.81,155.24
72.15,296.6
77.6,318.4
41.48,173.92
20.38,89.52
82.18,336.72
56.06,232.24
11.51,54.04
88.87,363.48
92.66,378.64
36.67,154.68
23.98,103.92
92.81,379.24
88.34,361.36
51.26,213.04
43.52,182.08
52.67,218.68
77.58,318.32
83.51,342.04
4.2,24.8
38.26,161.04
21.97,95.88
94.49,385.96
22.52,98.08
59.36,245.44
97.17,396.68
13.15,60.6
83.07,340.28
90.18,368.72
53.89,223.56
56.42,233.68
15.19,68.76
75.37,309.48
16.45,73.8
67.68,278.72
4.99,27.96
4.01,24.04
60.64,250.56
78.01,320.04
30.74,130.96
2.15,16.6
85.1,348.4
78.89,323.56
9.27,45.08
86.91,355.64
0.08,8.32
37.42,157.68
45.97,191.88
95.03,388.12
39.97,167.88
63.4,261.6
24.69,106.76
75.52,310.08
93.23,380.92
77.35,317.4
45.18,188.72
28.45,121.8
47.25,197
66.66,274.64
17.64,78.56
86.25,353
2.32,17.28
80.24,328.96
19.86,87.44
76.86,315.44
19.09,84.36
74.88,307.52
47.35,197.4
29.79,127.16
42.72,178.88
30.7,130.8
89.86,367.44
49.69,206.76
54.59,226.36
23.84,103.36
47.36,197.44
17.13,76.52
31.34,133.36
54.82,227.28
39.57,166.28
79.79,327.16
57.88,239.52
63.14,260.56
86.27,353.08
2.82,19.28
71.37,293.48
91.46,373.84
87.54,358.16
81.67,334.68
39.96,167.84
5.55,30.2
97.87,399.48
73.91,303.64
90.34,369.36
53.22,220.88
43.77,183.08
37.29,157.16
19.77,87.08
2.47,17.88
22.42,97.68
98.67,402.68
67.53,278.12
87.19,356.76
47.01,196.04
37.06,156.24
88.48,361.92
87.16,356.64
69.34,285.36
2.99,19.96
10.18,48.72
23.27,101.08
60.69,250.76
86.55,354.2
31.1,132.4
28.66,122.64
93.71,382.84
69.16,284.64
80.68,330.72
20.97,91.88
16.15,72.6
41.19,172.76
90.68,370.72
83.72,342.88
79.56,326.24
42.03,176.12
31.54,134.16
32.66,138.64
75.97,311.88
26.2,112.8
23.41,101.64
46.73,194.92
65.34,269.36
73.16,300.64
16.12,72.48
7.82,39.28
49.77,207.08
24.81,107.24
68.01,280.04
28.94,123.76
26.63,114.52
45.58,190.32
96.65,394.6
86.33,353.32
77.22,316.88
73.32,301.28
61.2,252.8
97.72,398.88
28.55,122.2
44.18,184.72
42.58,178.32
52.5,218
53.08,220.32
93.69,382.76
44.66,186.64
15.15,68.6
31.87,135.48
8.91,43.64
90.25,369
69.37,285.48
16.27,73.08
70.74,290.96
55.49,229.96
